query_id,document_id,query_text,phrase_pl,doc_text,document_pl
86,11640,myers-briggs personality test what do the letters stand for,test osobowości myers-briggs za co odpowiadają litery,"INTP (introversion, intuition, thinking, perceiving) is an abbreviation used in the publications of the MyersâBriggs Type Indicator (MBTI) to refer to one of the MBTI's 16 personality types.NTP (introversion, intuition, thinking, perceiving) is an abbreviation used in the publications of the MyersâBriggs Type Indicator (MBTI) to refer to one of the MBTI's 16 personality types.","INTP (introwersja, intuicja, myślenie, obserwacja) to skrót używany w publikacjach Wskaźnika Typu Myers-Briggs (MBTI) w odniesieniu do jednego z 16 typów osobowości MBTI.NTP (introwersja, intuicja, myślenie, obserwacja) to skrót używany w publikacjach Wskaźnika Typu Myers-Briggs (MBTI) w odniesieniu do jednego z 16 typów osobowości MBTI."
87,12191,what is a good home remedy for hemorrhoids,jaki jest dobry domowy środek na hemoroidy,"Note that if you incorporate some natural hemorrhoid treatments and follow the prevention tips below, your symptoms may very well disappear as the issue reverses. 6 Home Remedies for Hemorrhoids. Apple Cider Vinegar â Using apple cider vinegar is one of the most popular natural treatments for hemorrhoids. Simply soak a cotton ball or some toilet paper with ACV and apply it to the hemorrhoid area. Repeat this process until the inflammation disappears and symptoms resolve.","Należy pamiętać, że jeśli wdrożysz niektóre naturalne metody leczenia hemoroidów i zastosujesz się do poniższych wskazówek zapobiegawczych, twoje objawy mogą całkowicie zniknąć w miarę jak problem ustępuje. 6 Domowych środków na hemoroidy. Ocet Jabłkowy – Używanie octu jabłkowego jest jednym z najpopularniejszych naturalnych sposobów leczenia hemoroidów. Po prostu namocz wacik lub kawałek papieru toaletowego octem jabłkowym i nałóż go na obszar hemoroidów. Powtarzaj tę procedurę, aż stan zapalny zniknie, a objawy ustąpią."
88,12528,what does the last name spratt mean,co oznacza nazwisko spratt,"Spratt derives either from the Old English sprit meaning a  slender person or from esprit meaning an elf. Like many Anglo-Saxon names it originated as a nickname before becoming a surname in the modern sense. The earliest records of the name come from the English counties of Dorset, Somerset and Essex.","Spratt wywodzi się albo ze staroangielskiego słowa sprit oznaczającego szczupłą osobę, albo z esprit oznaczającego elfa. Podobnie jak wiele anglosaskich nazwisk, powstało jako przezwisko, zanim stało się nazwiskiem we współczesnym znaczeniu. Najwcześniejsze zapisy tego nazwiska pochodzą z angielskich hrabstw Dorset, Somerset i Essex."
89,12640,element al,pierwiastek al,"Aluminium (British and IUPAC spelling) or aluminum (American spelling) is a chemical element with symbol Al and atomic number 13. It is a silvery-white, soft, nonmagnetic, ductile metal in the boron group.","Glin (pisownia brytyjska i IUPAC) lub aluminium (pisownia amerykańska) jest pierwiastkiem chemicznym o symbolu Al i liczbie atomowej 13. Jest to srebrzystobiały, miękki, niemagnetyczny, ciągliwy metal z grupy borowców."
90,12753,"what causes feelings of detachment from reality,","co powoduje uczucie oddzielenia od rzeczywistości,","Why This Occurs. Emotional detachment is usually an issue caused by severe, intense anxiety - most notably panic attacks, although any form of severe anxiety can cause emotional detachment. While it's not entirely clear what causes this detachment, it most likely is a coping mechanism for the brain.","Dlaczego to występuje. Wycofanie emocjonalne jest zwykle problemem spowodowanym przez silny, intensywny lęk – w szczególności ataki paniki, chociaż każda forma silnego lęku może powodować wycofanie emocjonalne. Chociaż nie jest do końca jasne, co powoduje to oddzielenie, najprawdopodobniej jest to mechanizm radzenia sobie dla mózgu."
91,12858,concrete walkway cost per square foot,koszt betonowego chodnika za stopę kwadratową,1 A plain concrete walkway costs $4 to $6 per square foot. 2  Adding a single color or simple finish to the concrete raises the price to $6 to $10 per square foot. Expect to pay $8 to $12 per square foot for multiple colors or more elaborate patterning such as stamping or engraving. 2  Fully-custom walkways with a high level of hand-applied details (such as chemical stains or stenciling) cost $12 to $15 and up.,"1 Zwykły betonowy chodnik kosztuje 4 do 6 dolarów za stopę kwadratową. 2 Dodanie pojedynczego koloru lub prostej wykończeniowej powłoki do betonu podnosi cenę do 6 do 10 dolarów za stopę kwadratową. Oczekuj, że zapłacisz 8 do 12 dolarów za stopę kwadratową za wiele kolorów lub bardziej wyszukane wzory, takie jak tłoczenie lub grawerowanie. 2 W pełni niestandardowe chodniki z wysokim poziomem ręcznie nakładanych detali (takich jak barwniki chemiczne lub szablony) kosztują 12 do 15 dolarów i więcej."
92,12967,armistead meaning,armistead znaczenie,"What Does Name Armistead Mean Powerful and complete. You are good intellectually and require several outlets for your energies. You are not a builder but a planner, and you want others to carry out your plans.You are bold, independent, inquisitive and interested in research. You know what you want and why you want it.","Co Znaczy Imię Armistead Potężny i kompletny. Jesteś intelektualnie dobry i wymagasz kilku ujść dla swoich energii. Nie jesteś budowniczym, lecz planistą, i chcesz, by inni realizowali twoje plany. Jesteś śmiały, niezależny, dociekliwy i zainteresowany badaniem. Wiesz, czego chcesz i dlaczego tego chcesz."
93,13184,ross cameron age,ross cameron wiek,"Ross Cameron is 52 years old. To be more precise (and nerdy), the current age as of right now is 18981 days or (even more geeky) 455544 hours. That's a lot of hours!","Ross Cameron ma 52 lata. Aby być bardziej precyzyjnym (i naprawdę szczegółowym), jego obecny wiek w tym momencie to 18981 dni lub (jeszcze bardziej szczegółowo) 455544 godzin. To mnóstwo godzin!"
94,13300,reasons why nuclear power is bad,powody dlaczego energia nuklearna jest zła,"The truth is nuclear power is dangerous, costly, and will create more problems that it could ever hope to solve. Here is the truth about nuclear power and seven reasons why nuclear power is bad for the environment and for the nation. http://www.examiner.com/environmental-news-in-national/7-reasons-why-nuclear-power-is-bad-for-the-environment-and-the-nation. Login to post comments.","Prawda jest taka, że energia nuklearna jest niebezpieczna, kosztowna i stworzy więcej problemów, niż mogłaby kiedykolwiek mieć nadzieję rozwiązać. Oto prawda o energii nuklearnej i siedem powodów, dlaczego energia nuklearna jest zła dla środowiska i dla narodu. http://www.examiner.com/environmental-news-in-national/7-reasons-why-nuclear-power-is-bad-for-the-environment-and-the-nation. Zaloguj się, aby opublikować komentarze."
95,13310,what does dealer invoice price mean,co oznacza cena faktury dealerskiej,"The dealer invoice is the price the manufacturer bills the dealer for the vehicles they purchase, plus any options equipped. This is in essence the dealer's cost, and is not generally shared with the customer.he dealer invoice is the price the manufacturer bills the dealer for the vehicles they purchase, plus any options equipped. This is in essence the dealer's cost, and is not generally shared with the customer.","Cena faktury dealerskiej to cena, którą producent rozlicza z dealerem za zakupione przez niego pojazdy, plus wszelkie wyposażone opcje. Jest to w istocie koszt dealera i zazwyczaj nie jest on udostępniany klientowi.Cena faktury dealerskiej to cena, którą producent rozlicza z dealerem za zakupione przez niego pojazdy, plus wszelkie wyposażone opcje. Jest to w istocie koszt dealera i zazwyczaj nie jest on udostępniany klientowi."
96,13630,use pi as wired vpn router,użyj raspberry pi jako przewodowego routera vpn,"1 2x USB WiFi dongle(s) â for using the Pi as a wireless router (one dongle connects to the WiFi network and the other creates a personal aces point, with a bridge between them.) An Ethernet cable can be used instead of one dongle if desired.","1 2x adapter(y) USB WiFi – do używania Raspberry Pi jako bezprzewodowego routera (jeden adapter łączy się z siecią WiFi, a drugi tworzy osobisty punkt dostępu, z mostem między nimi.) Zamiast jednego adaptera można w razie potrzeby użyć kabla Ethernet."
97,13852,singular noun definition for kids,definicja rzeczownika w liczbie pojedynczej dla dzieci,"A singular noun is a word for one person, place, or thing. A plural noun is a word for two or more persons, places, or things. For example: 1  a chair or two chairs. 2  an idea or some ideas. 3  an experience or many experiences. 4  a building or a row of buildings.  one child or two children.","Rzeczownik w liczbie pojedynczej to słowo oznaczające jedną osobę, miejsce lub rzecz. Rzeczownik w liczbie mnogiej to słowo oznaczające dwie lub więcej osób, miejsc lub rzeczy. Na przykład: 1 krzesło lub dwa krzesła. 2 pomysł lub kilka pomysłów. 3 doświadczenie lub wiele doświadczeń. 4 budynek lub rząd budynków. jedno dziecko lub dwoje dzieci."
98,14074,causes of back pain in female for a week,przyczyny bólu pleców u kobiet przez tydzień,"Back pain can be a symptom of many different illnesses and conditions. The main cause of the pain can be a problem with the back itself or by a problem in another part of the body. In many cases, doctors can't find a cause for the pain. When a cause is found, common explanations include:","Ból pleców może być objawem wielu różnych chorób i schorzeń. Główną przyczyną bólu może być problem z samymi plecami lub problem w innej części ciała. W wielu przypadkach lekarze nie są w stanie znaleźć przyczyny bólu. Kiedy przyczyna zostanie znaleziona, powszechne wyjaśnienia obejmują:"
99,14398,savannah georgia average yearly weather,savannah georgia średnia roczna pogoda,"Home : Climate Graphs: Georgia : Savannah. Average Temperatures for Savannah. Savannah's coldest month is January when the average temperature overnight is 38.0Â°F. In July, the warmest month, the average day time temperature rises to 92.3Â°F. Average Rainfall for Savannah.","Strona główna : Wykresy klimatyczne: Georgia : Savannah. Średnie temperatury dla Savannah. Najzimniejszym miesiącem w Savannah jest styczeń, kiedy średnia temperatura nocą wynosi 38.0°F. W lipcu, najcieplejszym miesiącu, średnia temperatura dzienna wzrasta do 92.3°F. Średnie opady dla Savannah."
100,14410,temperature sorrento italy september,temperatura sorrento włochy wrzesień,"Averages for Sorrento in September. September sees temperatures that are slightly milder than preceding months in Sorrento, Italy, although it is still extremely warm. The average daily temperature is 21Â°C, three degrees below the annual maximum that was recorded in July and August. Read more.","Średnie wartości dla Sorrento we wrześniu. Wrzesień przynosi temperatury, które są nieco łagodniejsze niż w poprzednich miesiącach w Sorrento we Włoszech, chociaż jest wciąż bardzo ciepło. Średnia dzienna temperatura wynosi 21Â°C, trzy stopnie poniżej rocznego maksimum, które zostało zarejestrowane w lipcu i sierpniu. Czytaj więcej."
101,14520,what county is exeter nh,w jakim hrabstwie jest exeter nh,"Exeter, New Hampshire. Exeter is a town in Rockingham County, New Hampshire, United States. The town's population was 14,306 at the 2010 census. Exeter was the county seat until 1997, when county offices were moved to neighboring Brentwood.","Exeter, New Hampshire. Exeter to miasto w hrabstwie Rockingham, New Hampshire, Stany Zjednoczone. Ludność miasta wynosiła 14 306 podczas spisu powszechnego w 2010 roku. Exeter było stolicą hrabstwa do 1997 roku, kiedy to urzędy hrabstwa przeniesiono do sąsiedniego Brentwood."
102,14628,what is fms medical term,co to jest termin medyczny fms,"Fibromyalgia (FM) is a medical condition characterised by chronic widespread pain and a heightened pain response to pressure. Other symptoms include feeling tired to a degree that normal activities are affected, sleep problems, and troubles with memory.","Fibromialgia (FM) to schorzenie medyczne charakteryzujące się przewlekłym, rozległym bólem oraz podwyższoną reakcją bólową na ucisk. Inne objawy obejmują uczucie zmęczenia w stopniu, który wpływa na normalne aktywności, problemy ze snem oraz kłopoty z pamięcią."
103,14734,what is boot screening?,co to jest ekran startowy?,"A bootsplash, also known as a bootscreen, is a term for a graphical representation of the boot process of the operating system. A bootsplash can be a simple visualisation of the scrolling boot messages in the console, but it can also present graphics or some combinations of both.","Ekran startowy, znany również jako bootscreen, to termin określający graficzną reprezentację procesu rozruchu systemu operacyjnego. Ekran startowy może być prostą wizualizacją przewijających się komunikatów rozruchu w konsoli, ale może również prezentować grafikę lub niektóre kombinacje obu tych elementów."
104,14951,is acre capitalized,czy akr jest pisany wielką literą,"In 2014, the actual farmland value was $7,700 per acre while the capitalized value was $8,830 or $1,130 higher than the current value ($234 cash rent / .265 10-year rate). In other words, current cash rents and the 10-year CMT rate together suggest that Illinois farmland prices are not overvalued.","W 2014 roku rzeczywista wartość gruntów rolnych wynosiła 7700 dolarów za akr, podczas gdy wartość skapitalizowana wynosiła 8830 dolarów, czyli o 1130 dolarów więcej niż wartość bieżąca (234 dolary czynszu gotówkowego / 10-letnia stopa 0,265). Innymi słowy, bieżące czynsze gotówkowe i 10-letnia stopa CMT razem sugerują, że ceny gruntów rolnych w Illinois nie są przewartościowane."
105,15060,smoking patches how long should you be on them,plastry na rzucenie palenia jak długo powinno się je stosować,"If you smoke less than 10 cigarettes a day, you should start on Step 2 with a 14mg patch. Use that for six weeks, before moving to Step 3 with a 7mg patch for two weeks. If you need to use NiQuitin (nicotine) Patches for longer than 9 months (3 months for 12-17 year olds) seek advice from a healthcare professional.Wait at least half an hour after your last cigarette before applying the NiQuitin (nicotine) Patch.f you need to use NiQuitin (nicotine) Patches for longer than 9 months (3 months for 12-17 year olds) seek advice from a healthcare professional. Wait at least half an hour after your last cigarette before applying the NiQuitin (nicotine) Patch.","Jeśli palisz mniej niż 10 papierosów dziennie, powinieneś zacząć od Etapu 2 z plastrem 14mg. Stosuj go przez sześć tygodni, zanim przejdziesz do Etapu 3 z plastrem 7mg na dwa tygodnie. Jeśli potrzebujesz używać plastrów NiQuitin (nikotyna) dłużej niż 9 miesięcy (3 miesiące dla osób w wieku 12-17 lat), zasięgnij porady pracownika służby zdrowia.Odczekaj co najmniej pół godziny od ostatniego papierosa przed nałożeniem plastra NiQuitin (nikotyna).Jeśli potrzebujesz używać plastrów NiQuitin (nikotyna) dłużej niż 9 miesięcy (3 miesiące dla osób w wieku 12-17 lat), zasięgnij porady pracownika służby zdrowia. Odczekaj co najmniej pół godziny od ostatniego papierosa przed nałożeniem plastra NiQuitin (nikotyna)."
106,15395,what does it mean when the bottom of your foot is really hot,co to znaczy gdy dół stopy jest bardzo gorący,"Lee Sanders, DPM, responds: A painfully hot or burning sensation in the feet, especially in middle-aged and older people, could be caused by small fiber neuropathy. Diabetes is the most common cause of this condition; symptoms typically start with burning feet and numb toes.","Lee Sanders, DPM, odpowiada: Bolesne uczucie gorąca lub pieczenia w stopach, szczególnie u osób w średnim i starszym wieku, może być spowodowane neuropatią małych włókien. Cukrzyca jest najczęstszą przyczyną tego schorzenia; objawy zazwyczaj zaczynają się od piekących stóp i odrętwiałych palców."
107,15505,oliguric meaning,znaczenie oligurii,"Oliguria is defined as a urine output that is less than 1 mL/kg/h in infants, less than 0.5 mL/kg/h in children, and less than 400 mL daily in adults. It is one of the clinical hallmarks of renal failure and has been used as a criterion for diagnosing and staging acute kidney injury (AKI), previously referred to as acute renal failure.","Oliguria jest definiowana jako wydalanie moczu wynoszące mniej niż 1 ml/kg/godz. u niemowląt, mniej niż 0,5 ml/kg/godz. u dzieci i mniej niż 400 ml na dobę u dorosłych. Jest to jedna z klinicznych cech charakterystycznych niewydolności nerek i była używana jako kryterium diagnozowania i określania stopnia zaawansowania ostrego uszkodzenia nerek (AKI), wcześniej nazywanego ostrą niewydolnością nerek."
108,15732,average annual snowfall in jersey,średnie roczne opady śniegu w jersey,"Morristown, New Jersey, gets 50 inches of rain per year. The US average is 39. Snowfall is 27 inches. The average US city gets 26 inches of snow per year. The number of days with any measurable precipitation is 80. On average, there are 209 sunny days per year in Morristown, New Jersey. The July high is around 85 degrees. The January low is 20.","Morristown, New Jersey, otrzymuje 50 cali deszczu rocznie. Średnia krajowa w USA wynosi 39. Opady śniegu wynoszą 27 cali. Przeciętne amerykańskie miasto otrzymuje 26 cali śniegu rocznie. Liczba dni z jakimikolwiek mierzalnymi opadami wynosi 80. Średnio w Morristown, New Jersey, jest 209 słonecznych dni w roku. Maksymalna temperatura w lipcu wynosi około 85 stopni. Minimalna temperatura w styczniu to 20."
109,15951,price for hardwood floor refinishing,cena renowacji parkietu,"According to the vendor-neutral, online home source Homewyse, the average professionally completed refinishing job costs $3.32 to $3.70 per square foot in 2014. That figures out to $2,656 to $2,960 to refinish 800 square feet of hardwood floors.his process, also known as âpad and recoat,â costs significantly less than total floor refinishing at around $1,000 to $1,400 for 800 square feet.","Według niezależnego od sprzedawców, internetowego źródła o domu Homewyse, średni profesjonalnie wykonany projekt renowacji kosztował 3,32 do 3,70 USD za stopę kwadratową w 2014 roku. Daje to kwotę od 2656 do 2960 USD za renowację 800 stóp kwadratowych parkietu. Ten proces, znany również jako „polerowanie i powlekanie”, kosztuje znacznie mniej niż całkowita renowacja podłogi, wynosząc około 1000 do 1400 USD za 800 stóp kwadratowych."
110,16175,what is e. pluribus unum,co to jest e pluribus unum,"E Pluribus Unum on the great seal of the United States. E pluribus unum is the official motto of the United States. It means out of many, one in Latin. It has been placed on the U.S. dollar bill, and other related items. It is meant to suggest that the U.S. has become a melting pot, a way of speech that means that many people come together as one.","E Pluribus Unum na wielkiej pieczęci Stanów Zjednoczonych. E pluribus unum jest oficjalną dewizą Stanów Zjednoczonych. Oznacza z wielu, jeden po łacinie. Została umieszczona na amerykańskim banknocie dolarowym i innych powiązanych przedmiotach. Ma sugerować, że Stany Zjednoczone stały się tyglem, sposób mówienia, który oznacza, że wielu ludzi łączy się w jedno."
111,16279,how much do club set bottles cost?,ile kosztują butelki z zestawu klubowego?,"Prices reach towards $15,000 for Nebuchadnezzar (15L) sized champagne bottles. Some clubs even have specialty large format champagne at Price $75,000 per bottle. And that is pretty much everything that you need to know about bottle service prices in NYC. Bottle service is a premium experience and that is reflected in the price.","Ceny sięgają 15 000 dolarów za butelki szampana w rozmiarze Nebukadnesar (15L). Niektóre kluby mają nawet specjalny szampan w dużym formacie w cenie 75 000 dolarów za butelkę. I to jest praktycznie wszystko, co musisz wiedzieć o cenach za bottle service w NYC. Bottle service to eksklutywne doświadczenie i znajduje to odzwierciedlenie w cenie."
112,16389,what causes film creasing during folding process,co powoduje zagniecenie folii podczas procesu składania,"Hence, the amount of delamination initiated during the creasing operation control much of the folding behavior. When the original material properties were used, the amount of delamination initiated by creasing is quite large for all three paperboards.","Dlatego też stopień delaminacji zapoczątkowanej podczas operacji bigowania w dużej mierze kontroluje zachowanie podczas składania. Gdy użyto oryginalnych właściwości materiału, stopień delaminacji spowodowanej bigowaniem jest dość duży dla wszystkich trzech rodzajów kartonu."
113,16502,what is a lease?,co to jest umowa leasingu?,"A typical lease spells out all of the terms involved in a land or merchandise rental agreement, including the length of time a lessee may use it and what condition it must be in upon return to the lessor. The amount of payments and any financial penalties for late payments may also be included in a contract.","Typowa umowa leasingu określa wszystkie warunki zawarte w umowie najmu gruntu lub towaru, w tym czas, przez który najemca może z niego korzystać oraz w jakim stanie musi on zostać zwrócony leasingodawcy. Wysokość płatności oraz wszelkie kary finansowe za opóźnienia w płatnościach również mogą być zawarte w umowie."
114,16613,meaning of a discrete concept,znaczenie dyskretnego pojęcia,"Discrete mathematics. Discrete mathematics is the study of mathematical structures that are fundamentally discrete rather than continuous. In contrast to real numbers that have the property of varying smoothly, the objects studied in discrete mathematics â such as integers, graphs, and statements in logic â do not vary smoothly in this way, but have distinct, separated values. Discrete mathematics therefore excludes topics in continuous mathematics such as calculus and analysis. Discrete objects can often ...","Matematyka dyskretna. Matematyka dyskretna to nauka o strukturach matematycznych, które są z natury dyskretne, a nie ciągłe. W przeciwieństwie do liczb rzeczywistych, które mają właściwość płynnej zmiany, obiekty badane w matematyce dyskretnej – takie jak liczby całkowite, grafy i stwierdzenia w logice – nie zmieniają się w ten sposób w sposób płynny, ale mają wyraźne, oddzielone wartości. Matematyka dyskretna wyklucza zatem tematy z matematyki ciągłej, takie jak rachunek różniczkowy i analiza. Obiekty dyskretne mogą często ..."
115,16728,va choice provider phone number,va choice numer telefonu do dostawcy,"Veterans seeking to use the Veterans Choice Program or wanting to know more about it, can call1-866-606-8198 to confirm their eligibility and to schedule an appointment. For more details about the Veterans Choice Program and VAâs progress, visit: www.va.gov/opa/choiceact.","Weterani, którzy chcą skorzystać z Programu Wyboru dla Weteranów lub pragną dowiedzieć się o nim więcej, mogą zadzwonić pod numer 1-866-606-8198, aby potwierdzić swoje uprawnienia i umówić się na wizytę. Aby uzyskać więcej szczegółów na temat Programu Wyboru dla Weteranów i postępów VA, odwiedź: www.va.gov/opa/choiceact."
115,16731,va choice provider phone number,va choice numer telefonu do dostawcy,"For more information on the Veterans Choice Program, and to find out if you are eligible, you can visit www.va.gov/opa/choiceact or call 866-606-8198. Using the Veterans Choice Program does not impact your existing VA health care or any other VA benefit.","Aby uzyskać więcej informacji na temat Programu Wyboru dla Weteranów i dowiedzieć się, czy kwalifikujesz się, możesz odwiedzić stronę www.va.gov/opa/choiceact lub zadzwonić pod numer 866-606-8198. Korzystanie z Programu Wyboru dla Weteranów nie wpływa na twoją dotychczasową opiekę zdrowotną VA ani na żadne inne świadczenia VA."
116,16834,population nehalem or,populacja nehalem lub,"Nehalem, Oregon 2017 Population Estimate â 1,240 The Portland State University projects the Nehalem 2017 population as 1,240 people. Note: this value is a projection, not a count. The 2010 Decennial Census provides the most recent count of the Nehalem population as 271 people. And the US Census Bureauâs 2016 Population Estimates Program provides a population estimate for Nehalem as 285 people. The graph is a visualization of the best Nehalem population data available from different data sources.","Nehalem, Oregon Szacunek Populacji na 2017 – 1,240 Portland State University prognozuje populację Nehalem na 2017 jako 1,240 osób. Uwaga: ta wartość jest prognozą, a nie spisem. Narodowy Spis Powszechny z 2010 roku podaje najnowszy spis populacji Nehalem jako 271 osób. A Program Szacunków Populacji z 2016 roku US Census Bureau podaje szacunkową populację dla Nehalem jako 285 osób. Wykres jest wizualizacją najlepszych dostępnych danych o populacji Nehalem z różnych źródeł danych."
117,16948,how much is a pint of patron,ile kosztuje pinta patrona,"how much is a pint of patron tequila? The KGB Agent answer: Patron Tequila is available in 50ml, 200ml, 375ml & 750ml bottles. Patron Anejo 750ml is $59.95. Patron Reposado 750ml is $53.95. Patron Silver 750ml is $49.95.","ile kosztuje pinta tequili patron? Odpowiedź Agenta KGB: Tequila Patron jest dostępna w butelkach 50ml, 200ml, 375ml i 750ml. Patron Anejo 750ml kosztuje 59,95 $. Patron Reposado 750ml kosztuje 53,95 $. Patron Silver 750ml kosztuje 49,95 $."
118,17051,what is home systems protection insurance,czym jest ubezpieczenie ochrony systemów domowych,"HSB HomeWorksâ¢ combines the broadest homeowners equipment breakdown protection available - Home Systems Protection - with a suite of home management tools, known as MyHomeWorks. Home Systems Protection covers the breakdown of home systems, appliances and electronics. The MyHomeWorks.com website offers home energy management tools to help increase home energy efficiency and save money. HSB HomeWorks is designed to enhance the Homeowners products offered by personal lines insurers that partner with HSB.","HSB HomeWorks™ łączy najszerszą dostępną ochronę na wypadek awarii sprzętu w gospodarstwie domowym - Ochronę Systemów Domowych - z pakietem narzędzi do zarządzania domem, znanym jako MyHomeWorks. Ochrona Systemów Domowych obejmuje awarie systemów domowych, urządzeń AGD i elektroniki. Witryna internetowa MyHomeWorks.com oferuje narzędzia do zarządzania energią w domu, które pomagają zwiększyć efektywność energetyczną domu i zaoszczędzić pieniądze. HSB HomeWorks zostało zaprojektowane, aby ulepszyć produkty dla właścicieli domów oferowane przez ubezpieczycieli linii osobistych, którzy współpracują z HSB."
119,17163,what all is ferric gluconate used for,do czego wszystkiego służy glukonian żelazowy,"Sodium ferric gluconate complex. Sodium ferric gluconate complex (brand name Ferrlecit by Sanofi), is an intravenously administered iron product indicated in the treatment of iron deficiency anemia. It is frequently used in patients undergoing hemodialysis, those undergoing erythropoietin therapy, and/or patients who have chronic kidney disease. Navigation menu.","Kompleks glukonianu żelazawego sodu. Kompleks glukonianu żelazawego sodu (nazwa handlowa Ferrlecit firmy Sanofi) jest dożylnie podawanym produktem żelazowym wskazanym w leczeniu niedokrwistości z niedoboru żelaza. Jest często stosowany u pacjentów poddawanych hemodializie, tych poddawanych terapii erytropoetyną i/lub pacjentów z przewlekłą chorobą nerek. Menu nawigacyjne."
120,17272,causes of swollen ankles and feet,przyczyny opuchniętych kostek i stóp,"Painless swelling of the feet and ankles is a common problem, especially among older people. Abnormal buildup of fluid in the ankles, feet, and legs can cause swelling. This fluid buildup and swelling is called edema.","Bezbolesne obrzęki stóp i kostek są powszechnym problemem, szczególnie wśród osób starszych. Nienormalne gromadzenie się płynu w kostkach, stopach i nogach może powodować obrzęk. To nagromadzenie płynu i obrzęk nazywa się obrzękiem obwodowym."
121,17375,is levaquin an antibiotic,czy levaquin to antybiotyk,"A: Levaquin is an antibiotic that is used to treat all kinds of bacterial infections. Doctors usually prescribe this drug for treating infections of kidneys, bladder, skin, and sinuses. However, in recent years, levaquin has been linked to a number of severe side effects and birth defects.","O: Levaquin to antybiotyk, który jest stosowany w leczeniu wszelkiego rodzaju infekcji bakteryjnych. Lekarze zazwyczaj przepisują ten lek w leczeniu infekcji nerek, pęcherza, skóry i zatok. Jednak w ostatnich latach Levaquin został powiązany z szeregiem poważnych skutków ubocznych i wad wrodzonych."
122,17704,what does the sphinx represent,co przedstawia sfinks,"In ancient Egypt, the Sphinx is a male statue of a lion with the head of a human, sometimes with wings. Most sphinxes however represent a king in his appearance as the sun god.","W starożytnym Egipcie Sfinks jest męskim posągiem lwa z głową człowieka, czasami ze skrzydłami. Większość sfinksów przedstawia jednak króla w jego postaci jako boga słońca."
